donorID,predicted_proba,contact_flag
D134242,0.8545162,DO_NOT_MAIL
D126503,0.003539917,DO_NOT_MAIL
D104392,0.009710132,DO_NOT_MAIL
D105905,0.17860168,DO_NOT_MAIL
D120506,0.90379035,DO_NOT_MAIL
D128540,0.018927881,DO_NOT_MAIL
D126159,0.97037226,MAIL
D141462,0.0030401903,DO_NOT_MAIL
D140682,0.27389178,DO_NOT_MAIL
D133551,0.98307866,MAIL
D102019,0.93474895,DO_NOT_MAIL
D105175,0.92532676,DO_NOT_MAIL
D111013,0.64520997,DO_NOT_MAIL
D144019,0.0056703086,DO_NOT_MAIL
D131199,0.0062510795,DO_NOT_MAIL
D142468,0.07668002,DO_NOT_MAIL
D121937,0.99329513,MAIL
D107681,0.8852851,DO_NOT_MAIL
D113805,0.9859474,MAIL
D112360,0.96184963,MAIL
D114420,0.9452456,DO_NOT_MAIL
D135378,0.17345065,DO_NOT_MAIL
D138381,0.24384122,DO_NOT_MAIL
D133011,0.9257085,DO_NOT_MAIL
D136120,0.94288254,DO_NOT_MAIL
D105054,0.001848932,DO_NOT_MAIL
D110537,0.84869266,DO_NOT_MAIL
D143137,0.030678445,DO_NOT_MAIL
D133273,0.39383292,DO_NOT_MAIL
D124016,0.71282405,DO_NOT_MAIL
D109613,0.9854085,MAIL
D125090,0.9720347,MAIL
D134162,0.8619678,DO_NOT_MAIL
D102042,0.9779025,MAIL
D136934,0.9788103,MAIL
D126262,0.9781587,MAIL
D113933,0.0539042,DO_NOT_MAIL
D119380,0.022965014,DO_NOT_MAIL
D100249,0.02941452,DO_NOT_MAIL
D117440,0.97373116,MAIL
D131283,0.07731607,DO_NOT_MAIL
D139543,0.017138178,DO_NOT_MAIL
D111228,0.09452224,DO_NOT_MAIL
D135548,0.83729506,DO_NOT_MAIL
D104585,0.8983231,DO_NOT_MAIL
D102087,0.14476453,DO_NOT_MAIL
D126860,0.9358564,DO_NOT_MAIL
D120710,0.98834795,MAIL
D142371,0.05154694,DO_NOT_MAIL
D125901,0.87192446,DO_NOT_MAIL
D132052,0.3428064,DO_NOT_MAIL
D110640,0.73969823,DO_NOT_MAIL
D121011,0.8943701,DO_NOT_MAIL
D110607,0.8764,DO_NOT_MAIL
D112443,0.0024943182,DO_NOT_MAIL
D110218,0.9401205,DO_NOT_MAIL
D110015,0.79660517,DO_NOT_MAIL
D127700,0.9858009,MAIL
D114247,0.78250086,DO_NOT_MAIL
D122641,0.82004774,DO_NOT_MAIL
D123227,0.97171783,MAIL
D103057,0.8576082,DO_NOT_MAIL
D138110,0.00077540026,DO_NOT_MAIL
D103992,0.79660517,DO_NOT_MAIL
D139274,0.97272146,MAIL
D133143,0.8764,DO_NOT_MAIL
D140608,0.009778482,DO_NOT_MAIL
D137320,0.00037365864,DO_NOT_MAIL
D120195,0.96121466,MAIL
D144652,0.9278522,DO_NOT_MAIL
D135074,0.2897877,DO_NOT_MAIL
D120797,0.9834034,MAIL
D137241,0.95111847,DO_NOT_MAIL
D123448,0.007894169,DO_NOT_MAIL
D127181,0.8332882,DO_NOT_MAIL
D143400,0.0461707,DO_NOT_MAIL
D133585,0.02310205,DO_NOT_MAIL
D129281,0.81474036,DO_NOT_MAIL
D106420,0.83729506,DO_NOT_MAIL
D120310,0.969633,MAIL
D100875,0.9640741,MAIL
D129379,0.81131417,DO_NOT_MAIL
D129171,0.02914476,DO_NOT_MAIL
D135592,0.06613534,DO_NOT_MAIL
D134625,0.70131403,DO_NOT_MAIL
D101112,0.7332227,DO_NOT_MAIL
D115541,0.9718807,MAIL
D117581,0.9685836,MAIL
D105378,0.43124834,DO_NOT_MAIL
D102661,0.9347862,DO_NOT_MAIL
D107960,0.92924166,DO_NOT_MAIL
D122968,0.8165528,DO_NOT_MAIL
D120026,0.93300116,DO_NOT_MAIL
D122244,0.9602031,MAIL
D128645,0.014836652,DO_NOT_MAIL
D133355,0.00037538793,DO_NOT_MAIL
D115905,0.6648818,DO_NOT_MAIL
D117502,0.94440866,DO_NOT_MAIL
D116338,0.9463768,DO_NOT_MAIL
D127497,0.9940221,MAIL
D125673,0.018551592,DO_NOT_MAIL
D114453,0.04585702,DO_NOT_MAIL
D123338,0.9708299,MAIL
D143900,0.020988649,DO_NOT_MAIL
D132439,0.9802091,MAIL
D109393,0.9807499,MAIL
D128763,0.9118403,DO_NOT_MAIL
D133177,0.8415551,DO_NOT_MAIL
D124227,0.11921409,DO_NOT_MAIL
D110430,0.824826,DO_NOT_MAIL
D126070,0.320609,DO_NOT_MAIL
D103038,0.2394468,DO_NOT_MAIL
D140029,0.2694482,DO_NOT_MAIL
D125784,0.96996504,MAIL
D123829,0.87599576,DO_NOT_MAIL
D100711,0.9675739,MAIL
D104178,0.8054332,DO_NOT_MAIL
D127045,0.8892806,DO_NOT_MAIL
D109694,0.99292165,MAIL
D122069,0.9347862,DO_NOT_MAIL
D106310,0.031975597,DO_NOT_MAIL
D122041,0.010957959,DO_NOT_MAIL
D115706,0.066626355,DO_NOT_MAIL
D113290,0.90447336,DO_NOT_MAIL
D100556,0.9642926,MAIL
D133029,0.9225519,DO_NOT_MAIL
D139558,0.12273738,DO_NOT_MAIL
D130931,0.97374177,MAIL
D142127,0.039313983,DO_NOT_MAIL
D116669,0.96707946,MAIL
D119194,0.62353516,DO_NOT_MAIL
D130875,0.991771,MAIL
D135370,0.8881598,DO_NOT_MAIL
D116520,0.03750677,DO_NOT_MAIL
D139370,0.15496312,DO_NOT_MAIL
D127695,0.9412208,DO_NOT_MAIL
D117497,0.9802091,MAIL
D109328,0.76219136,DO_NOT_MAIL
D122865,0.005538494,DO_NOT_MAIL
D113674,0.98479754,MAIL
D139537,0.981837,MAIL
D138496,0.16243538,DO_NOT_MAIL
D136521,0.6690531,DO_NOT_MAIL
D130420,0.000213838,DO_NOT_MAIL
D106548,0.8576082,DO_NOT_MAIL
D115251,0.039313983,DO_NOT_MAIL
D135629,0.012944937,DO_NOT_MAIL
D115788,0.98014534,MAIL
D135068,0.92095155,DO_NOT_MAIL
D124642,0.9349788,DO_NOT_MAIL
D134467,0.824826,DO_NOT_MAIL
D122703,0.47156852,DO_NOT_MAIL
D131575,0.97696793,MAIL
D129204,0.1018852,DO_NOT_MAIL
D102874,0.9347862,DO_NOT_MAIL
D109978,0.6545905,DO_NOT_MAIL
D111174,0.881872,DO_NOT_MAIL
D133071,0.2918457,DO_NOT_MAIL
